rank,school,grades,students,student/teacher ratio,free lunch recipients,average standard score,rank (2012),rank change from 2012,school type,address,city,zip,county,district,charter,magnet,virtual,title i,phone,full time teachers,white,black,hispanic,asian,american indian,pacific islander,two or more races
1,Academy For Allied Health Sciences,9-12,262,16.1,15.70%,84.8,1,0.00,Public,1776 Raritan Road,Scotch Plains,07076,Union,Union County Vocational-Technical School District,No,(n/a),No,No,(908) 889-8288,16,112 (42.7 %),45 (17.2 %),34 (13.0 %),64 (24.4 %),2 (0.8 %),1 (0.4 %),4 (1.5 %)
1,Academy For Information Technology,9-12,259,9.8,8.50%,84.8,1,0.00,Public,1776 Raritan Road,Scotch Plains,07076,Union,Union County Vocational-Technical School District,No,(n/a),No,No,(908) 889-8288,26,154 (59.5 %),23 (8.9 %),33 (12.7 %),40 (15.4 %),0 (0.0 %),2 (0.8 %),7 (2.7 %)
1,Academy for Law and Public Safety,9-12,59,,0.00%,84.8,,,Public,Bartholdi Avenue,Butler,07405,Morris,Morris County Vocational School District,No,(n/a),No,Yes,(973) 492-2000,,48 (81.4 %),1 (1.7 %),7 (11.9 %),2 (3.4 %),0 (0.0 %),0 (0.0 %),1 (1.7 %)
1,Academy for Mathematics Science and Engineering,9-12,90,,0.00%,84.8,1,0.00,Public,520 West Main Street,Rockaway,07866,Morris,Morris County Vocational School District,No,(n/a),No,Yes,(973) 664-2301,,32 (35.6 %),0 (0.0 %),3 (3.3 %),52 (57.8 %),0 (0.0 %),2 (2.2 %),1 (1.1 %)
1,Academy For Performing Arts,9-12,193,16.4,15.50%,84.8,1,0.00,Public,1776 Raritan Road,Scotch Plains,07076,Union,Union County Vocational-Technical School District,No,(n/a),No,No,(908) 889-8288,12,100 (51.8 %),38 (19.7 %),48 (24.9 %),4 (2.1 %),0 (0.0 %),0 (0.0 %),3 (1.6 %)
1,Academy Of Allied Health And Science,9-12,286,11.4,3.20%,84.8,1,0.00,Public,2325 Heck Avenue,Neptune,07753,Monmouth,Monmouth County Vocational School District,No,(n/a),No,No,(732) 775-0058,25,176 (61.5 %),7 (2.4 %),9 (3.1 %),94 (32.9 %),0 (0.0 %),0 (0.0 %),0 (0.0 %)
1,Bergen County Academies,9-12,"1,062",11.5,2.90%,84.8,1,0.00,Public,200 Hackensack Avenue,Hackensack,07601,Bergen,Bergen County Vocational Technical School District,No,(n/a),No,No,(201) 343-6000,92,474 (44.6 %),20 (1.9 %),72 (6.8 %),465 (43.8 %),0 (0.0 %),4 (0.4 %),27 (2.5 %)
1,Biotechnology High School,9-12,311,13.5,1.30%,84.8,1,0.00,Public,5000 Kozloski Road,Freehold,07728,Monmouth,Monmouth County Vocational School District,No,(n/a),No,No,(732) 431-7942,23,216 (69.5 %),6 (1.9 %),5 (1.6 %),84 (27.0 %),0 (0.0 %),0 (0.0 %),0 (0.0 %)
1,Dr Ronald McNair High School,9-12,694,12.8,46.70%,84.8,1,0.00,Public,123 Coles Street,Jersey City,07302,Hudson,Jersey City School District,No,(n/a),No,Yes,(201) 418-7617,54,137 (19.7 %),111 (16.0 %),148 (21.3 %),276 (39.8 %),10 (1.4 %),12 (1.7 %),0 (0.0 %)
1,Infinity Institute,6-12,184,7.3,81.00%,84.8,,,"Public, Alternative",193 Old Bergen Road,Jersey City,07305,Hudson,Jersey City School District,No,(n/a),No,Yes,(201) 915-1404,25,45 (24.5 %),50 (27.2 %),45 (24.5 %),42 (22.8 %),1 (0.5 %),1 (0.5 %),0 (0.0 %)
