rank,school,grades,students,student/teacher ratio,free lunch recipients,average standard score,rank (2014),rank change from 2014,type,address,city,zip,county,district,charter,magnet,virtual,title i,phone,fulltime teachers,white,black,hispanic,asian,american indian,pacific islander,two or more races
1,Academy for Mathematics Science and Engineering,9-12,97,,0.00%,99.3,1,0,Public,520 West Main Street,Rockaway,7866,Morris,Morris County Vocational School District,No,(n/a),No,Yes,(973) 664-2301,,25 (25.8 %),1 (1.0 %),1 (1.0 %),68 (70.1 %),0 (0.0 %),2 (2.1 %),0 (0.0 %)
2,Middlesex County Vocational Academy Math Science &Engineering Techn,9-12,167,12.8,1.80%,99.2,1,-1,Public,100 Technology Drive,Edison,8837,Middlesex,Middlesex County Vocational and Technical School District,No,(n/a),No,No,(732) 452-2600,13,27 (16.2 %),1 (0.6 %),8 (4.8 %),131 (78.4 %),0 (0.0 %),0 (0.0 %),0 (0.0 %)
3,Academy For Allied Health Sciences,9-12,267,14,13.50%,98.5,1,-2,Public,1776 Raritan Road,Scotch Plains,7076,Union,Union County Vocational-Technical School District,No,(n/a),No,No,(908) 889-8288,19,112 (41.9 %),48 (18.0 %),32 (12.0 %),68 (25.5 %),3 (1.1 %),0 (0.0 %),4 (1.5 %)
4,High Technology High School,9-12,292,13.2,2.70%,98.5,1,-3,Public,765 Newman Springs Road,Lincroft,7738,Monmouth,Monmouth County Vocational School District,No,(n/a),No,No,(732) 842-8444,22,138 (47.3 %),1 (0.3 %),4 (1.4 %),148 (50.7 %),0 (0.0 %),1 (0.3 %),0 (0.0 %)
5,Academy For Information Technology,9-12,266,9.5,7.50%,98.2,1,-4,Public,1776 Raritan Road,Scotch Plains,7076,Union,Union County Vocational-Technical School District,No,(n/a),No,No,(908) 889-8288,28,140 (52.6 %),24 (9.0 %),40 (15.0 %),52 (19.5 %),1 (0.4 %),3 (1.1 %),6 (2.3 %)
6,Marine Academy Of Science And Technology,9-12,294,10.5,6.10%,97.8,1,-5,Public,305 Mast Way,Highlands,7732,Monmouth,Monmouth County Vocational School District,No,(n/a),No,No,(732) 291-0995,28,272 (92.5 %),0 (0.0 %),10 (3.4 %),11 (3.7 %),0 (0.0 %),0 (0.0 %),1 (0.3 %)
7,Union County Magnet High School,9-12,290,12.6,7.60%,96.5,1,-6,Public,1776 Raritan Road,Scotch Plains,7076,Union,Union County Vocational-Technical School District,No,(n/a),No,No,(908) 889-8288,23,126 (43.4 %),26 (9.0 %),37 (12.8 %),93 (32.1 %),1 (0.3 %),3 (1.0 %),4 (1.4 %)
8,Infinity Institute,6-12,261,11.3,77.40%,96.2,22,14,"Public, Alternative",193 Old Bergen Road,Jersey City,7305,Hudson,Jersey City School District,No,(n/a),No,Yes,(201) 915-1404,23,48 (18.4 %),64 (24.5 %),78 (29.9 %),69 (26.4 %),1 (0.4 %),1 (0.4 %),0 (0.0 %)
9,Biotechnology High School,9-12,322,14,2.50%,96.2,1,-8,Public,5000 Kozloski Road,Freehold,7728,Monmouth,Monmouth County Vocational School District,No,(n/a),No,No,(732) 431-7942,23,180 (55.9 %),3 (0.9 %),10 (3.1 %),127 (39.4 %),0 (0.0 %),2 (0.6 %),0 (0.0 %)
10,Union County Technical,9-12,352,7.3,14.80%,95.4,1,-9,Public,1776 Raritan Rd,Scotch Plains,7076,Union,Union County Vocational-Technical School District,No,(n/a),No,Yes,(908) 889-8288,48,151 (42.9 %),79 (22.4 %),84 (23.9 %),38 (10.8 %),0 (0.0 %),0 (0.0 %),0 (0.0 %)
